Option A,Option B,"Answer (d=different, s=same, b=both)"
hid,heed,d
did,deed,d
mint,mean,d
mint,meant,d
whirl,wheel,d
wool,wood,d
tent,tint,d
lend,mend,s
run,rune,d
fool,full,d
man,mend,d
woman,women,d
duct,duck,s
duck,dock,d
please,lease,s
bee,been,d
bit,bin,s
born,burnt,d
teen,tin,d
ups,oops,d
met,mitt,d
love,lab,d
me,mint,d
look,spook,d
stop,stool,d
chance,chalk,d
week,wick,d
teen,dream,s
back,pack,s
live,leave,d
wrench,wreck,s
wrist,wreak,d
on,pod,b
whale,stale,s
beg,big,d
bad,mad,s
talk,call,s
leave,leaf,s
want,wall,b
dog,dug,d
come,calm,d
sick,tick,s
sheep,chick,d
slim,lent,d
all,mall,s
more,lore,s
heart,dart,s
none,nun,s
some,come,s
what,wham,d
each,leech,s
was,whats,d
fool,cruel,b
loose,lose,s
done,gone,d
last,mast,s
yuck,muck,s
tear,read,b
and,hum,d
do,doom,b
she,shell,d
sea,see,s
tell,well,s
swell,quench,s
keep,skip,d
punch,lunch,s
rift,shift,s
fist,cist,s
diss,wrist,s
mist,missed,s
gift,lift,s
swift,wished,s
salt,malt,s
grip,spit,s
pit,knit,s
kit,kid,s
lit,hint,s
itch,stitch,s
twist,wist,s
ditch,rich,s
crypt,shrift,s
skit,skip,s
spilt,nipped,s
jeep,jet,d
whit,with,s
hilt,heel,d
mix,meant,d
ill,mill,s
brick,trick,s
fit,feet,d
linch,leech,d
pinch,peek,d
miffed,stiff,s
inn,wrench,d
ran,rum,d
rung,rang,d
wrung,wrong,d
rune,room,s
reen,reed,s
dawn,ran,d
rum,ran,d
rim,wreak,d
rem,rim,d
room,rune,s
runs,roll,d
rim,rem,d
urn,port,d
rom,run,d
prune,room,s
law,laugh,d
Lee,linch,d
flaw,slaw,s
claw,long,s
lot,laud,b
lawn,laut,s
hog,hug,d
lodge,lock,s
blue,glue,s
glee,flea,s
blew,tomb,s
drew,clue,s
